"time","group","sim","state","value"
15,1,4,"S",0.95
16,1,4,"S",0.946
17,1,4,"S",0.934
18,1,4,"S",0.922
19,1,4,"S",0.908
20,1,4,"S",0.897
21,1,4,"S",0.881
22,1,4,"S",0.862
23,1,4,"S",0.846
24,1,4,"S",0.829
25,1,4,"S",0.809
26,1,4,"S",0.787
27,1,4,"S",0.758
28,1,4,"S",0.723
29,1,4,"S",0.7
30,1,4,"S",0.671
31,1,4,"S",0.638
32,1,4,"S",0.59
33,1,4,"S",0.557
34,1,4,"S",0.508
35,1,4,"S",0.473
36,1,4,"S",0.434
37,1,4,"S",0.403
38,1,4,"S",0.374
39,1,4,"S",0.352
40,1,4,"S",0.324
41,1,4,"S",0.308
42,1,4,"S",0.294
43,1,4,"S",0.267
44,1,4,"S",0.246
45,1,4,"S",0.226
46,1,4,"S",0.205
47,1,4,"S",0.189
48,1,4,"S",0.187
49,1,4,"S",0.186
50,1,4,"S",0.174
51,1,4,"S",0.168
52,1,4,"S",0.164
53,1,4,"S",0.152
54,1,4,"S",0.156
55,1,4,"S",0.144
56,1,4,"S",0.142
57,1,4,"S",0.151
58,1,4,"S",0.149
59,1,4,"S",0.146
60,1,4,"S",0.15
61,1,4,"S",0.151
62,1,4,"S",0.15
63,1,4,"S",0.148
64,1,4,"S",0.153
65,1,4,"S",0.152
66,1,4,"S",0.15
67,1,4,"S",0.149
68,1,4,"S",0.154
69,1,4,"S",0.162
70,1,4,"S",0.171
71,1,4,"S",0.171
72,1,4,"S",0.158
73,1,4,"S",0.168
74,1,4,"S",0.156
75,1,4,"S",0.168
76,1,4,"S",0.17
77,1,4,"S",0.172
78,1,4,"S",0.177
79,1,4,"S",0.165
80,1,4,"S",0.168
1,1,4,"I",0.005
2,1,4,"I",0.007
3,1,4,"I",0.008
4,1,4,"I",0.011
5,1,4,"I",0.011
6,1,4,"I",0.013
7,1,4,"I",0.015
8,1,4,"I",0.015
9,1,4,"I",0.017
10,1,4,"I",0.02
11,1,4,"I",0.026
12,1,4,"I",0.032
13,1,4,"I",0.038
14,1,4,"I",0.041
15,1,4,"I",0.043
16,1,4,"I",0.048
17,1,4,"I",0.058
18,1,4,"I",0.068
19,1,4,"I",0.08
20,1,4,"I",0.09
21,1,4,"I",0.105
22,1,4,"I",0.12
23,1,4,"I",0.132
24,1,4,"I",0.144
25,1,4,"I",0.161
26,1,4,"I",0.181
27,1,4,"I",0.209
28,1,4,"I",0.237
29,1,4,"I",0.255
30,1,4,"I",0.276
